timestamp,users,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,editors,tags_create,tags_modify
2023-10-05,1.0,1.0,146.0,4034.0,144.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"{""id"": 146}","{""highway"": 2}",{}
2023-10-18,2.0,6.0,782.0,2414.0,594.0,107.0,0.0,66.0,15.0,0.0,0.0,0.0,0,0.0,0.0,58.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,"{""josm"": 782}","{""building"": 58, ""highway"": 8}","{""landuse"": 6, ""building"": 5, ""highway"": 3, ""name"": 2, ""surface"": 1, ""natural"": 1, ""ref"": 1, ""tracktype"": 1, ""water"": 1}"
2023-10-19,2.0,4.0,610.0,3603.0,576.0,3.0,0.0,20.0,8.0,2.0,0.0,1.0,0,0.0,0.0,12.0,0.0,8.0,5.0,0.0,2.0,0.0,0.0,"{""josm"": 610}","{""building"": 12, ""highway"": 8}","{""highway"": 5, ""ref"": 3, ""waterway"": 2, ""name"": 2, ""route"": 1, ""type"": 1, ""landuse"": 1}"
2023-10-20,2.0,3.0,631.0,3725.0,531.0,59.0,0.0,35.0,6.0,0.0,0.0,0.0,0,0.0,0.0,24.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,"{""josm"": 631}","{""building"": 24, ""highway"": 11}","{""highway"": 3, ""landuse"": 3, ""name"": 3, ""surface"": 2}"
2023-10-21,1.0,1.0,524.0,4064.0,360.0,135.0,0.0,27.0,2.0,0.0,0.0,0.0,0,0.0,0.0,23.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,"{""josm"": 524}","{""building"": 23, ""highway"": 4}","{""highway"": 1, ""natural"": 1}"
2023-10-22,1.0,2.0,338.0,2849.0,323.0,2.0,0.0,10.0,3.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,"{""josm"": 338}","{""highway"": 8, ""building"": 2}","{""highway"": 2, ""ref"": 1, ""landuse"": 1, ""name"": 1}"
2023-10-23,1.0,2.0,851.0,8304.0,838.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,"{""josm"": 851}","{""highway"": 7}","{""highway"": 2, ""surface"": 2}"
2023-10-28,1.0,2.0,121.0,0.0,59.0,56.0,0.0,2.0,4.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,"{""josm"": 121}","{""building"": 1, ""highway"": 1}","{""building"": 2, ""highway"": 2, ""ref"": 1, ""ref:old"": 1, ""name"": 1}"
2023-10-29,1.0,2.0,480.0,4274.0,366.0,74.0,12.0,13.0,15.0,0.0,0.0,0.0,0,0.0,2.0,11.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,"{""id"": 480}","{""building"": 11, ""highway"": 2}","{""building"": 8, ""highway"": 6, ""name"": 4, ""ref:old"": 1, ""landuse"": 1, ""ref"": 1, ""place"": 1, ""ford"": 1}"
2023-10-30,8.0,42.0,4810.0,17250.0,2240.0,2176.0,13.0,94.0,284.0,3.0,0.0,0.0,0,1.0,0.0,41.0,236.0,46.0,30.0,1.0,7.0,0.0,0.0,"{""josm"": 4362, ""id"": 448}","{""highway"": 46, ""building"": 41, ""waterway"": 1, ""natural"": 1, ""landuse"": 1, ""ford"": 1}","{""building"": 236, ""highway"": 30, ""surface"": 11, ""name"": 10, ""natural"": 9, ""waterway"": 7, ""ref"": 6, ""source"": 4, ""ref:old"": 2, ""landuse"": 2, ""width"": 1, ""layer"": 1, ""narrow"": 1, ""description"": 1, ""water"": 1, ""bridge"": 1}"
