timestamp,users,changesets,map_changes,highway_len_m,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,amenity.create,amenity.modify,waterway.create,waterway.modify,tags_create,tags_modify
2023-02-22,1.0,3.0,21.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,"{""name"": 1, ""amenity"": 1, ""note"": 1, ""healthcare"": 1, ""source"": 1, ""addr:district"": 1, ""check_date"": 1, ""fixme"": 1}","{""name"": 2, ""amenity"": 2, ""note"": 2, ""healthcare"": 2, ""source"": 2, ""addr:district"": 2, ""check_date"": 2, ""fixme"": 2, ""phone"": 1}"
2023-02-23,9.0,56.0,10865.0,7571.0,4462.0,5170.0,36.0,831.0,365.0,1.0,0.0,0.0,0,12.0,1.0,802.0,257.0,28.0,83.0,0.0,1.0,0.0,1.0,"{""building"": 802, ""source"": 153, ""highway"": 28, ""ruins:building"": 1}","{""building"": 257, ""source"": 112, ""highway"": 83, ""landuse"": 11, ""ruins:building"": 6, ""layer"": 4, ""surface"": 3, ""name"": 2, ""natural"": 2, ""leisure"": 2, ""is_in"": 1, ""name:en"": 1, ""name:ar"": 1, ""place"": 1, ""name:ru"": 1, ""amenity"": 1, ""name:fr"": 1, ""sport"": 1, ""turkey_class"": 1, ""bridge"": 1, ""service"": 1, ""oneway"": 1, ""waterway"": 1}"
2023-02-24,23.0,208.0,35401.0,47168.0,21526.0,9111.0,66.0,4033.0,647.0,14.0,4.0,0.0,0,19.0,51.0,3821.0,379.0,192.0,209.0,15.0,45.0,5.0,15.0,"{""building"": 3821, ""source"": 484, ""highway"": 192, ""amenity"": 15, ""name"": 12, ""note"": 12, ""healthcare"": 12, ""addr:district"": 12, ""check_date"": 12, ""fixme"": 12, ""man_made"": 11, ""waterway"": 5, ""ford"": 4, ""layer"": 4, ""type"": 4, ""power"": 1, ""generator:output:electricity"": 1, ""generator:type"": 1, ""generator:method"": 1, ""generator:source"": 1, ""ruins:building"": 1, ""bridge"": 1}","{""building"": 379, ""highway"": 209, ""source"": 136, ""amenity"": 45, ""landuse"": 36, ""name"": 29, ""waterway"": 15, ""note"": 12, ""addr:district"": 12, ""check_date"": 12, ""fixme"": 12, ""surface"": 11, ""healthcare"": 11, ""phone"": 10, ""oneway"": 7, ""man_made"": 5, ""operator"": 5, ""dispensing"": 4, ""intermittent"": 4, ""ref"": 3, ""layer"": 3, ""residential"": 3, ""ruins:building"": 3, ""addr:city"": 3, ""tower:type"": 2, ""shop"": 2, ""railway"": 2, ""tracktype"": 2, ""name:ar"": 2, ""boundary"": 2, ""lanes"": 2, ""barrier"": 2, ""admin_level"": 2, ""tourism"": 1, ""religion"": 1, ""int_ref"": 1, ""bridge"": 1, ""name:tr"": 1, ""name:en"": 1, ""junction"": 1, ""denomination"": 1}"
2023-02-25,20.0,693.0,23075.0,52771.0,16118.0,3339.0,164.0,3185.0,254.0,15.0,0.0,0.0,0,318.0,148.0,2907.0,102.0,268.0,133.0,303.0,147.0,2.0,0.0,"{""building"": 2907, ""name"": 321, ""note"": 321, ""addr:district"": 321, ""check_date"": 321, ""source"": 321, ""fixme"": 321, ""amenity"": 303, ""healthcare"": 302, ""highway"": 268, ""layer"": 78, ""shop"": 18, ""phone"": 18, ""ruins:building"": 5, ""water"": 2, ""natural"": 2, ""surface"": 2, ""waterway"": 2, ""maxspeed"": 1, ""lanes"": 1, ""bridge"": 1}","{""name"": 155, ""amenity"": 147, ""healthcare"": 144, ""phone"": 136, ""highway"": 133, ""source"": 118, ""note"": 102, ""addr:district"": 102, ""check_date"": 102, ""building"": 102, ""fixme"": 101, ""landuse"": 13, ""shop"": 9, ""surface"": 9, ""layer"": 5, ""ref"": 4, ""maxspeed"": 3, ""lanes"": 3, ""addr:street"": 3, ""tracktype"": 3, ""ruins:building"": 3, ""addr:city"": 3, ""name:ar"": 2, ""addr:housenumber"": 2, ""oneway"": 2, ""name:en"": 1, ""ref:ar"": 1, ""int_ref"": 1}"
2023-02-26,13.0,615.0,31185.0,32429.0,18346.0,9269.0,42.0,3095.0,426.0,5.0,2.0,0.0,0,446.0,85.0,3021.0,162.0,69.0,232.0,240.0,71.0,1.0,5.0,"{""building"": 3021, ""name"": 447, ""source"": 446, ""note"": 445, ""addr:district"": 445, ""check_date"": 445, ""fixme"": 445, ""healthcare"": 240, ""amenity"": 240, ""shop"": 203, ""phone"": 197, ""highway"": 69, ""layer"": 27, ""name:en"": 2, ""hop"": 2, ""type"": 2, ""bridge"": 2, ""oneway"": 2, ""power"": 1, ""waterway"": 1}","{""highway"": 232, ""source"": 191, ""building"": 162, ""name"": 87, ""addr:district"": 79, ""note"": 78, ""check_date"": 78, ""fixme"": 78, ""healthcare"": 71, ""amenity"": 71, ""phone"": 63, ""landuse"": 21, ""oneway"": 11, ""surface"": 7, ""shop"": 6, ""waterway"": 5, ""power"": 5, ""addr:city"": 5, ""layer"": 4, ""ref"": 3, ""name:en"": 3, ""name:ar"": 3, ""ruins:building"": 3, ""name:ru"": 2, ""addr:street"": 2, ""bridge"": 2, ""name:tr"": 2, ""maxspeed"": 2, ""lanes"": 2, ""natural"": 2, ""intermittent"": 2, ""drive_through"": 1, ""addr:neighbourhood"": 1, ""dispensing"": 1, ""voltage"": 1, ""cables"": 1, ""height"": 1}"
2023-02-27,20.0,220.0,28121.0,28571.0,18233.0,6113.0,34.0,3327.0,406.0,8.0,0.0,0.0,0,71.0,9.0,3189.0,149.0,135.0,232.0,0.0,3.0,0.0,4.0,"{""building"": 3189, ""highway"": 135, ""source"": 114, ""name"": 66, ""shop"": 66, ""note"": 66, ""addr:district"": 66, ""check_date"": 66, ""phone"": 66, ""fixme"": 64, ""layer"": 10, ""ford"": 4, ""barrier"": 2, ""water"": 1, ""covered"": 1, ""natural"": 1}","{""highway"": 232, ""source"": 160, ""building"": 149, ""landuse"": 15, ""surface"": 7, ""ford"": 6, ""oneway"": 4, ""waterway"": 4, ""name"": 3, ""layer"": 3, ""amenity"": 3, ""shop"": 2, ""note"": 2, ""addr:district"": 2, ""religion"": 2, ""check_date"": 2, ""damage:type"": 2, ""phone"": 2, ""name:ru"": 2, ""ref"": 2, ""damage:event"": 2, ""earthquake:damage"": 2, ""damage:date"": 2, ""ruins:building"": 2, ""intermittent"": 2, ""fixme"": 2, ""construction"": 1, ""destroyed:building"": 1, ""railway"": 1, ""service"": 1, ""boundary"": 1, ""office"": 1, ""footway"": 1, ""admin_level"": 1, ""government"": 1}"
2023-02-28,33.0,164.0,29444.0,23259.0,15759.0,9779.0,146.0,3361.0,374.0,23.0,2.0,0.0,0,8.0,0.0,3242.0,177.0,110.0,170.0,2.0,2.0,0.0,0.0,"{""building"": 3242, ""source"": 424, ""highway"": 110, ""name"": 8, ""shop"": 8, ""note"": 8, ""barrier"": 8, ""addr:district"": 8, ""check_date"": 8, ""phone"": 8, ""fixme"": 7, ""amenity"": 2, ""type"": 2, ""man_made"": 1, ""area"": 1}","{""building"": 177, ""highway"": 170, ""source"": 89, ""landuse"": 10, ""ruins:building"": 10, ""surface"": 7, ""building:part"": 4, ""layer"": 3, ""name"": 2, ""residential"": 2, ""natural"": 2, ""amenity"": 2, ""service"": 2, ""building:levels"": 1, ""addr:district"": 1, ""lanes"": 1, ""boundary"": 1, ""office"": 1, ""addr:street"": 1, ""addr:housenumber"": 1, ""height"": 1, ""addr:neighbourhood"": 1, ""addr:city"": 1, ""admin_level"": 1, ""government"": 1}"
2023-03-01,15.0,104.0,18209.0,17331.0,9160.0,7010.0,7.0,1781.0,249.0,2.0,0.0,0.0,0,48.0,6.0,1707.0,129.0,71.0,100.0,1.0,2.0,0.0,0.0,"{""building"": 1707, ""highway"": 71, ""name"": 48, ""shop"": 47, ""note"": 47, ""source"": 47, ""addr:district"": 47, ""check_date"": 47, ""fixme"": 47, ""phone"": 46, ""ruins:building"": 2, ""amenity"": 1, ""barrier"": 1}","{""building"": 129, ""highway"": 100, ""source"": 64, ""ruins:building"": 11, ""surface"": 11, ""name"": 8, ""landuse"": 7, ""name:en"": 5, ""name:ar"": 4, ""oneway"": 4, ""int_name"": 3, ""place"": 3, ""name:de"": 3, ""name:fr"": 3, ""name:ar1"": 3, ""alt_name"": 3, ""name:tr"": 2, ""layer"": 2, ""name:ru"": 2, ""railway"": 2, ""ref"": 2, ""amenity"": 2, ""shop"": 1, ""note"": 1, ""maxspeed"": 1, ""addr:district"": 1, ""lanes"": 1, ""check_date"": 1, ""phone"": 1, ""int_ref"": 1, ""fixme"": 1}"
2023-03-02,30.0,374.0,32961.0,39794.0,19791.0,9144.0,26.0,3464.0,529.0,7.0,0.0,0.0,0,269.0,16.0,3299.0,284.0,153.0,214.0,0.0,6.0,0.0,0.0,"{""building"": 3299, ""source"": 272, ""name"": 270, ""note"": 269, ""addr:district"": 269, ""check_date"": 269, ""fixme"": 269, ""shop"": 268, ""phone"": 265, ""highway"": 153, ""tracktype"": 13, ""noname"": 8, ""landuse"": 6, ""natural"": 5, ""layer"": 3, ""bridge"": 3, ""oneway"": 2, ""name:en"": 1, ""name:ar"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""leisure"": 1, ""sport"": 1}","{""building"": 284, ""highway"": 214, ""source"": 131, ""name"": 31, ""landuse"": 18, ""surface"": 16, ""oneway"": 16, ""shop"": 12, ""addr:district"": 12, ""check_date"": 12, ""phone"": 12, ""fixme"": 12, ""note"": 11, ""name:en"": 10, ""name:ar"": 10, ""noname"": 10, ""amenity"": 6, ""layer"": 4, ""natural"": 4, ""ref"": 3, ""leisure"": 3, ""ruins:building"": 3, ""addr:street"": 2, ""bridge"": 2, ""service"": 2, ""healthcare"": 2, ""boundary"": 2, ""brand"": 2, ""brand:wikidata"": 2, ""addr:city"": 2, ""religion"": 1, ""description"": 1, ""addr:housenumber"": 1, ""int_ref"": 1, ""power"": 1, ""maxspeed"": 1, ""int_name"": 1, ""place"": 1, ""lanes"": 1, ""voltage"": 1, ""ref:ar"": 1, ""cables"": 1, ""admin_level"": 1}"
2023-03-03,64.0,223.0,56282.0,72448.0,39118.0,8596.0,64.0,7770.0,717.0,10.0,5.0,2.0,0,35.0,49.0,7208.0,279.0,528.0,373.0,8.0,47.0,2.0,4.0,"{""building"": 7208, ""highway"": 528, ""layer"": 35, ""name"": 34, ""surface"": 26, ""building:levels"": 17, ""shop"": 17, ""brand"": 16, ""brand:wikidata"": 16, ""leisure"": 15, ""source"": 12, ""landuse"": 10, ""amenity"": 8, ""type"": 5, ""addr:district"": 4, ""healthcare"": 3, ""sport"": 3, ""addr:city"": 3, ""ford"": 2, ""religion"": 2, ""bridge"": 2, ""oneway"": 2, ""waterway"": 2, ""noname"": 2, ""natural"": 2, ""barrier"": 2, ""denomination"": 2, ""tower:type"": 1, ""note"": 1, ""man_made"": 1, ""check_date"": 1, ""operator"": 1, ""tunnel"": 1, ""emergency"": 1, ""operator:wikidata"": 1, ""fixme"": 1}","{""highway"": 373, ""building"": 279, ""source"": 116, ""name"": 61, ""amenity"": 47, ""healthcare"": 37, ""landuse"": 36, ""noname"": 28, ""surface"": 23, ""phone"": 21, ""layer"": 19, ""oneway"": 18, ""name:ar"": 9, ""building:part"": 8, ""name:en"": 7, ""ref"": 6, ""power"": 5, ""waterway"": 4, ""residential"": 4, ""barrier"": 4, ""religion"": 3, ""operator"": 3, ""name:ku"": 3, ""leisure"": 3, ""shop"": 2, ""note"": 2, ""railway"": 2, ""description"": 2, ""type"": 2, ""bridge"": 2, ""dispensing"": 2, ""refugee"": 2, ""bicycle_parking"": 2, ""usage"": 2, ""voltage"": 2, ""foot"": 2, ""denomination"": 2, ""wall"": 2, ""tourism"": 1, ""addr:district"": 1, ""int_ref"": 1, ""boundary"": 1, ""cables"": 1, ""circuits"": 1, ""addr:city"": 1, ""admin_level"": 1}"
